No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
966;CALF;-;-;-;-;-;-;-;-;-;-;-;-;-;28.88;-0.58%;1,574
967;CALL;137.82M;11.54;-;0.31;1.67;3.03;2.32;10.44;-431.40%;-;-19.30%;36.70%;-11.10%;8.43;-0.30%;6,500
968;CALM;2.41B;28.68;19.85;-;1.61;2.49;7.29;13.36;211.40%;23.22%;10.30%;-10.00%;3.10%;48.45;-1.32%;87,016
969;CALX;429.95M;-;41.97;-;0.90;3.00;8.92;-;-493.70%;337.50%;-41.50%;20.00%;9.10%;8.20;1.23%;56,150
970;CAMP;795.87M;18.87;15.63;1.57;2.14;3.96;4.45;10.14;421.50%;17.17%;-13.80%;12.00%;15.20%;22.62;0.04%;129,363
971;CAMT;298.86M;21.17;13.05;1.41;2.78;3.32;7.25;-;91.10%;20.50%;242.20%;15.00%;2.00%;8.20;0.86%;95,302
972;CANE;-;-;-;-;-;-;-;-;-;-;-;-;-;6.63;-0.82%;31,850
973;CANF;44.40M;-;-;-;28.55;3.93;-;-;48.40%;-50.00%;-;-;-;1.30;0.64%;20,336
974;CANG;1.34B;29.01;9.88;2.55;8.53;-;2.86;-;164.50%;107.00%;-;11.39%;-;8.70;-1.02%;4,117
975;CAPE;-;-;-;-;-;-;-;-;-;-;-;-;-;132.15;-0.02%;1,202
976;CAPL;614.71M;-;29.31;-;0.26;4.72;245.89;9.29;-62.10%;710.00%;-15.50%;2.00%;2.10%;17.73;-0.84%;20,879
977;CAPR;33.44M;-;-;-;20.90;3.18;2.72;-;109.00%;13.80%;19.50%;-;7.00%;1.13;7.62%;102,748
978;CAR;2.59B;14.36;8.33;0.94;0.29;7.00;5.29;-;-0.10%;10.03%;-6.30%;15.30%;3.80%;32.12;-0.40%;412,865
979;CARA;961.20M;-;-;-;331.45;10.83;7.28;739.39;50.80%;-2.90%;-29.20%;-;-5.20%;23.39;-1.35%;311,787
980;CARB;1.32B;-;19.99;-;4.97;15.44;18.56;43.92;-206.30%;18.41%;9.00%;15.00%;23.30%;38.00;2.98%;195,440
981;CARG;5.95B;156.80;172.33;-;15.55;37.46;41.95;179.16;128.30%;34.33%;-;-;-;54.21;0.50%;1,123,182
982;CARO;873.84M;22.84;13.29;-;6.60;1.49;7.91;291.28;22.40%;3.40%;-1.00%;-;21.90%;38.77;-0.13%;19,587
983;CARS;1.90B;18.05;27.30;1.20;2.95;1.16;103.39;13.64;-18.40%;47.81%;-;15.00%;-;27.31;2.09%;493,371
984;CART;58.50M;20.58;-;-;3.06;1.12;1.13;15.81;18.70%;-;55.10%;-;5.50%;8.41;3.00%;3,150
985;CARV;15.11M;3.27;-;-;0.62;2.99;0.16;-;290.10%;-;52.30%;-;0.50%;4.60;3.77%;2,927
986;CARZ;-;-;-;-;-;-;-;-;-;-;-;-;-;36.83;-1.13%;1,707
987;CASA;1.34B;17.53;16.79;-;3.63;11.98;3.92;-;172.50%;9.77%;-;-;-;15.42;-0.26%;244,687
988;CASH;1.10B;14.47;10.82;-;8.61;1.81;13.93;7.93;24.00%;23.48%;-0.20%;-;23.70%;83.45;0.60%;11,185
989;CASI;491.84M;-;-;-;-;5.87;7.30;-;-3.50%;32.10%;25.80%;-;-;5.69;0.00%;118,938
990;CASM;58.81M;-;-;-;2.88;-;11.31;-;78.20%;-;39.40%;15.00%;-3.70%;2.26;10.24%;89,042
991;CASS;806.21M;27.42;-;-;5.58;3.53;6.49;31.25;10.20%;-;3.00%;-;3.30%;65.88;0.92%;8,085
992;CASY;4.67B;30.44;25.24;3.48;0.53;3.62;104.34;-;-15.30%;8.79%;7.20%;8.76%;3.00%;130.16;1.41%;156,283
993;CAT;91.81B;16.87;11.94;0.66;1.79;6.17;10.61;66.20;69.30%;10.73%;-9.30%;25.76%;-7.10%;154.12;0.08%;1,667,753
994;CATB;59.41M;-;-;-;118.82;0.61;-;-;43.20%;17.60%;-2.20%;-;-;0.87;1.79%;1,073,891
995;CATH;-;-;-;-;-;-;-;-;-;-;-;-;-;36.27;0.19%;2,371
996;CATM;1.52B;-;17.81;-;1.06;3.83;37.83;8.46;-279.20%;2.31%;-41.10%;12.00%;14.10%;32.98;-0.42%;178,103
997;CATO;520.97M;17.58;16.15;1.76;0.61;1.53;2.32;55.42;-51.80%;4.00%;-17.00%;10.00%;-2.10%;20.88;-0.52%;74,805
998;CATS;230.46M;-;-;-;24.52;-;41.15;-;49.40%;33.90%;39.40%;30.00%;70.20%;13.00;-0.38%;45,954
999;CATY;3.47B;14.65;12.17;1.83;5.46;1.67;8.25;18.19;12.40%;5.92%;13.90%;8.00%;6.00%;42.49;0.05%;112,465
1000;CAW;20.83M;35.88;-;-;1.18;2.88;208.31;29.76;53.90%;-;21.10%;-;-9.70%;2.84;-7.02%;2,193
1001;CB;63.57B;18.98;12.20;1.91;1.93;1.25;63.57;17.01;-18.40%;7.77%;-1.70%;9.95%;12.40%;136.00;-0.79%;451,378
1002;CBA;458.78M;-;-;-;111.90;0.96;-;-;-312.20%;-;-;-;-;7.80;-0.38%;200,067
1003;CBAK;19.33M;-;-;-;0.34;-;38.66;11.37;-731.30%;-;36.80%;30.00%;-20.60%;0.69;2.28%;6,612
1004;CBAN;152.02M;13.81;-;1.97;3.22;1.76;2.93;16.71;31.60%;-;50.70%;7.00%;-0.60%;18.45;0.25%;320
1005;CBAY;693.39M;-;-;-;133.34;3.27;3.27;-;30.60%;0.80%;17.70%;-;26.80%;11.39;2.80%;255,023
1006;CBB;762.50M;-;97.74;-;0.58;-;25.16;-;-65.80%;123.50%;107.00%;19.20%;-2.70%;15.15;0.00%;82,718
1007;CBD;5.38B;46.41;17.15;6.11;0.47;2.11;7.19;31.26;-55.00%;44.64%;-26.10%;7.60%;-2.60%;20.42;-2.02%;301,290
1008;CBFV;174.70M;24.86;13.71;2.49;4.84;1.15;7.22;48.53;-10.10%;44.19%;-0.40%;10.00%;11.80%;30.70;0.16%;1,561
1009;CBIO;124.79M;-;-;-;207.98;0.89;0.92;-;65.70%;-41.80%;19.40%;-;-55.40%;10.32;0.98%;147,686
1010;CBK;30.15M;-;-;-;0.08;0.73;1.31;-;-23.20%;55.70%;-5.60%;44.30%;-3.20%;0.76;-3.07%;69,007
1011;CBL;722.07M;-;-;-;0.81;0.67;30.86;2.99;-38.90%;-160.00%;-5.80%;4.90%;-1.60%;4.24;0.00%;1,411,863
1012;CBLI;22.23M;-;-;-;12.35;201.00;3.42;-;-258.40%;-;38.40%;-;-11.40%;2.07;2.75%;4,719
1013;CBLK;1.51B;-;-;-;8.15;7.63;8.47;-;-74.30%;42.90%;-;30.00%;-;23.38;0.52%;106,688
1014;CBM;2.17B;17.25;22.46;1.15;3.69;3.34;12.65;32.15;17.10%;2.48%;8.20%;15.00%;14.10%;65.45;3.89%;220,810
1015;CBMG;359.10M;-;-;-;1197.01;5.41;10.32;-;-38.50%;-14.50%;-5.20%;-;4.20%;23.88;8.81%;150,251
1016;CBND;-;-;-;-;-;-;-;-;-;-;-;-;-;30.76;-0.19%;1,307
1017;CBOE;11.78B;36.70;21.75;2.58;4.40;3.74;43.33;29.57;-15.80%;6.70%;1.50%;14.20%;34.20%;101.04;-4.04%;631,440
1018;CBON;-;-;-;-;-;-;-;-;-;-;-;-;-;22.30;0.00%;105
1019;CBPO;2.72B;39.12;17.23;15.97;6.43;2.43;7.42;38.83;2.80%;9.74%;18.00%;2.45%;14.90%;79.83;-1.14%;74,543
1020;CBPX;1.40B;23.09;16.03;0.93;2.78;4.22;16.58;16.60;20.70%;15.23%;39.50%;24.89%;9.50%;38.03;0.46%;91,935
1021;CBRE;15.47B;17.42;13.44;1.36;0.88;3.45;29.11;27.14;45.00%;6.52%;20.60%;12.80%;16.90%;44.84;-0.91%;392,522
1022;CBRL;3.51B;12.80;15.57;1.77;1.16;5.53;20.16;-;6.50%;4.97%;13.70%;7.25%;2.50%;145.90;-1.09%;211,065
1023;CBS;21.28B;12.43;9.66;0.70;1.49;9.87;84.43;40.29;21.70%;11.63%;13.00%;17.73%;1.30%;56.66;0.14%;892,811
1024;CBS-A;2.14B;15.26;-;1.23;0.15;9.92;-;-;-;-;-;12.40%;-;56.62;-0.66%;574
1025;CBSH;7.28B;20.00;16.98;2.30;8.80;2.74;5.73;18.32;13.70%;3.17%;-34.70%;8.70%;2.80%;68.04;-0.01%;92,198
1026;CBT;4.00B;92.60;13.80;6.78;1.28;3.48;30.53;-;63.10%;14.95%;6.20%;13.66%;-3.80%;65.58;0.46%;172,100
1027;CBTX;967.25M;24.27;18.56;-;7.79;1.97;3.71;29.76;13.80%;12.21%;13.70%;-;12.60%;36.78;0.77%;22,317
1028;CBU;3.21B;21.00;19.32;2.10;8.97;1.93;10.92;24.59;-2.40%;0.87%;3.30%;10.00%;3.20%;62.39;-0.10%;22,486
1029;CBZ;1.32B;21.85;19.83;1.46;1.46;2.21;692.96;15.51;14.80%;11.63%;12.50%;15.00%;6.90%;23.90;0.42%;115,565
1030;CC;7.13B;7.14;6.13;4.76;1.06;6.95;5.86;18.72;54.70%;9.98%;-6.80%;1.50%;-3.40%;39.85;0.03%;562,479
1031;CCA;28.15M;63.86;-;-;10.83;0.82;-;-;-;-;-;-;-;10.00;-0.88%;752
1032;CCBG;406.60M;19.87;15.26;3.31;4.39;1.38;2.48;-;27.50%;31.31%;168.70%;6.00%;-0.60%;23.56;-0.80%;4,639
1033;CCCL;6.06M;-;-;-;0.05;0.05;20.21;-;77.40%;-;-17.90%;-;-10.70%;1.31;0.08%;5,385
1034;CCD;-;-;-;-;-;-;-;-;-;-;-;-;-;22.12;0.45%;42,613
1035;CCE;22.30B;19.21;15.16;1.53;1.71;2.75;51.46;24.12;44.60%;10.67%;-1.70%;12.57%;6.50%;45.43;0.29%;1,037,284
1036;CCF;1.13B;26.40;-;-;4.11;4.80;34.26;27.46;25.80%;-;34.00%;-;11.10%;123.50;0.73%;12,957
1037;CCI;46.01B;110.01;64.61;5.14;9.33;3.64;223.35;-;10.70%;37.14%;10.50%;21.39%;12.40%;110.08;-0.14%;558,785
1038;CCIH;29.62M;-;-;-;0.24;-;-;-;61.20%;-;27.67%;15.00%;0.90%;1.09;-6.86%;65,530
1039;CCJ;3.92B;-;62.74;-;2.45;1.04;6.05;8.49;-252.40%;-30.84%;-23.40%;9.79%;2.70%;9.85;0.00%;477,922
1040;CCK;6.42B;12.98;8.25;0.86;0.65;8.22;21.56;-;5.80%;11.86%;0.10%;15.06%;0.50%;47.59;-1.39%;616,615
1041;CCL;46.34B;17.05;14.07;1.39;2.52;1.99;44.01;44.22;-3.40%;12.03%;16.60%;12.28%;2.60%;66.93;0.18%;1,458,291
1042;CCLP;222.69M;-;-;-;0.65;2.98;4.33;-;72.20%;62.90%;-25.30%;3.70%;22.20%;5.33;0.00%;38,068
1043;CCM;138.40M;-;67.44;-;2.87;1.01;8.09;-;-9.00%;-21.67%;-34.60%;20.00%;-6.20%;3.17;0.00%;0
1044;CCMP;2.73B;28.54;18.58;2.59;4.78;4.24;8.78;30.43;39.80%;11.07%;14.70%;11.00%;3.50%;104.00;-0.94%;102,558
1045;CCNE;447.34M;15.38;11.84;-;3.78;1.79;6.17;18.80;24.40%;13.47%;5.10%;-;9.80%;29.40;-0.10%;2,667
1046;CCO;1.99B;-;-;-;0.74;-;11.52;26.72;-714.50%;55.00%;-35.00%;3.00%;-2.50%;5.90;1.72%;105,507
1047;CCOI;2.61B;113.63;58.74;-;5.15;-;11.62;-;14.50%;43.47%;43.50%;-;8.90%;55.60;0.27%;77,933
1048;CCOR;-;-;-;-;-;-;-;-;-;-;-;-;-;25.55;0.16%;300
1049;CCR;493.98M;9.23;8.42;-;1.41;2.31;823.31;5.93;67.30%;-5.37%;15.57%;-;-;17.90;-0.28%;5,069
1050;CCRC;183.45M;22.15;-;-;2.06;4.96;9.86;203.83;6.00%;-;87.80%;-;32.50%;11.57;9.05%;112,693
1051;CCRN;324.54M;6.93;18.88;0.61;0.38;1.33;9.96;9.57;472.70%;104.39%;31.10%;11.37%;14.30%;8.76;-0.51%;50,278
1052;CCS;836.80M;9.62;5.43;0.28;0.46;1.00;42.91;-;-8.00%;34.11%;28.06%;33.95%;71.50%;26.70;-0.93%;209,677
1053;CCU;5.03B;11.45;20.25;1.01;1.92;2.93;10.42;12.51;9.40%;-12.39%;-0.50%;11.37%;9.60%;27.52;-0.43%;161,903
1054;CCXI;618.82M;46.79;-;-;6.88;22.10;3.40;15.02;141.80%;-58.50%;18.30%;-;72.40%;13.21;3.04%;130,080
1055;CDAY;5.96B;-;107.93;-;7.91;3.84;34.71;-;28.40%;360.00%;-;12.00%;-;41.13;-2.78%;174,783
1056;CDC;-;-;-;-;-;-;-;-;-;-;-;-;-;47.60;-0.48%;15,214
1057;CDE;1.07B;155.28;26.12;-;1.51;1.26;8.68;-;-55.80%;3466.67%;-35.50%;-;-4.50%;5.77;3.22%;1,921,512
1058;CDEV;5.83B;32.93;17.64;0.54;8.19;1.88;136.49;16.77;121.70%;25.08%;-;61.25%;-;21.70;1.07%;1,565,820
1059;CDK;8.25B;23.62;13.68;2.36;3.63;-;10.26;28.03;32.80%;17.34%;16.40%;10.00%;4.30%;62.42;-0.45%;210,407
1060;CDL;-;-;-;-;-;-;-;-;-;-;-;-;-;46.34;-0.45%;6,225
1061;CDLX;548.51M;-;-;-;3.95;14.09;10.86;-;67.70%;6.90%;-;45.00%;-;25.82;1.25%;84,670
1062;CDMO;383.43M;-;111.43;-;9.81;6.88;10.22;-;-513.10%;125.00%;20.90%;-;19.90%;6.93;-1.28%;146,085
1063;CDMOP;1.46B;-;-;-;37.38;25.93;-;-;-;-;-;-;-;26.27;0.00%;0
1064;CDNA;962.73M;212.64;147.67;10.63;17.01;32.81;59.43;-;130.50%;172.00%;16.50%;20.00%;18.80%;27.09;1.94%;264,579
1065;CDNS;12.95B;109.28;24.71;9.11;6.40;10.50;15.69;25.02;-45.00%;9.57%;-24.60%;12.00%;7.90%;45.53;-0.08%;280,570
1066;CDOR;121.58M;34.32;81.89;2.29;1.86;1.23;20.61;32.86;-219.10%;-44.78%;47.90%;15.00%;-0.10%;10.50;0.96%;2,539
1067;CDR;403.14M;-;62.57;-;2.64;0.95;251.96;-;50.50%;129.20%;-24.90%;11.00%;1.50%;4.47;2.05%;92,898
1068;CDTI;43.85M;-;-;-;2.67;15.00;24.36;-;91.30%;-;45.10%;-;-14.10%;2.05;-2.38%;284,370
1069;CDTX;113.57M;-;-;-;-;1.21;1.10;-;4.20%;21.60%;-;-;-;4.50;7.14%;173,890
1070;CDW;13.47B;25.14;16.32;1.50;0.86;12.62;133.80;25.16;10.50%;9.46%;32.00%;16.80%;8.40%;88.69;-0.33%;292,818
1071;CDXC;211.27M;-;-;-;7.55;5.00;6.33;-;-289.20%;74.10%;0.90%;-;12.80%;3.70;0.00%;108,149
1072;CDXS;1.01B;-;-;-;16.97;18.50;18.78;-;-486.40%;60.90%;-8.00%;15.00%;-10.70%;19.10;3.24%;116,925
1073;CDZI;272.70M;40.75;-;-;681.75;-;13.50;-;89.90%;-;35.50%;-;3.80%;10.90;0.93%;12,342
1074;CE;15.83B;13.81;10.71;0.93;2.31;4.68;21.39;34.11;10.50%;2.54%;23.80%;14.88%;-0.90%;116.30;-0.29%;402,342
1075;CEA;10.35B;14.95;-;-;0.65;1.16;15.39;-;34.60%;-;10.80%;-;3.70%;32.15;-0.46%;4,267
1076;CECE;278.44M;-;17.25;-;0.89;1.42;7.82;24.86;96.30%;59.65%;-15.60%;15.00%;20.60%;7.81;-0.51%;10,264
1077;CECO;1.02B;27.12;12.81;2.09;1.76;3.16;5.52;50.25;246.10%;33.14%;18.40%;13.00%;-10.20%;14.51;-1.09%;90,171
1078;CEE;-;-;-;-;-;-;-;-;-;-;-;-;-;23.95;0.71%;946
1079;CEF;-;-;-;-;-;-;-;-;-;-;-;-;-;11.71;0.52%;372,800
1080;CEFL;-;-;-;-;-;-;-;-;-;-;-;-;-;15.68;-0.75%;58,333
1081;CEFS;-;-;-;-;-;-;-;-;-;-;-;-;-;20.08;-0.13%;1,002
1082;CEI;14.87M;-;-;-;2.22;-;37.19;-;93.80%;-;42.40%;-;-3.60%;0.52;41.85%;77,712,476
1083;CEIX;1.20B;8.24;11.03;-;0.79;3.73;4.30;3.89;202.20%;-27.34%;-;-;-;42.62;1.09%;164,606
1084;CEL;687.21M;198.24;-;32.50;0.64;1.48;2.00;8.23;-24.50%;-;-26.90%;6.10%;-8.20%;6.79;0.68%;2,596
1085;CELC;301.59M;-;-;-;-;10.23;13.96;-;-151.10%;-14.70%;-;-;-;28.64;-0.76%;5,070
1086;CELG;61.99B;16.60;8.26;0.85;4.39;18.28;18.18;18.42;109.10%;21.08%;25.80%;19.62%;18.70%;88.15;0.67%;1,905,956
1087;CELH;218.12M;-;-;-;5.28;16.32;25.66;-;-117.60%;57.10%;29.50%;-;34.20%;4.08;0.00%;15,306
1088;CELP;88.35M;10.95;-;-;0.31;2.76;8.41;51.97;100.00%;-;-7.50%;-;86.10%;7.26;0.47%;1,146
1089;CEM;1.02B;122.46;-;-;59.79;0.98;-;-;-533.80%;-;0.00%;-;-;14.26;-1.31%;186,260
1090;CEMB;-;-;-;-;-;-;-;-;-;-;-;-;-;48.00;0.10%;765
1091;CEMI;128.38M;-;-;-;4.28;6.03;13.51;-;58.80%;68.40%;-46.30%;25.00%;-1.30%;9.35;0.00%;5,852
1092;CEN;-;-;-;-;-;-;-;-;-;-;-;-;-;9.30;-2.00%;175,369
1093;CENT;3.11B;19.94;18.14;1.99;1.41;2.63;15.21;56.74;74.50%;9.90%;28.30%;10.00%;3.90%;37.42;-2.25%;24,449
1094;CENTA;1.53B;15.79;17.94;1.31;0.70;2.48;-;-;26.70%;3.70%;-;12.10%;-;34.41;-2.63%;97,958
1095;CENX;1.03B;14.99;7.23;-;0.59;1.22;8.32;-;117.70%;142.63%;26.80%;-;4.60%;12.30;3.45%;1,370,165
1096;CEO;86.08B;16.96;8.77;0.53;2.95;1.45;4.18;5.65;-;12.20%;-17.20%;31.80%;-5.50%;187.69;-0.22%;35,499
1097;CEPU;17.01B;3.32;34.24;0.08;62.42;2.62;-;-;-;-32.70%;-;43.00%;-;11.20;-0.88%;177,622
1098;CEQP;2.57B;-;75.05;-;0.62;1.98;422.01;-;-1.40%;340.00%;-15.80%;5.00%;14.10%;35.50;-1.66%;164,662
1099;CERC;171.22M;8.58;-;-;4.69;7.68;77.83;10.77;140.20%;-;21.20%;-;220.10%;4.60;-0.20%;35,840
1100;CERN;21.14B;30.80;22.84;2.66;4.03;4.32;23.88;28.09;15.20%;11.64%;13.50%;11.57%;14.00%;64.00;0.34%;549,347
1101;CERS;990.17M;-;-;-;14.52;10.70;8.85;-;9.40%;16.70%;-13.90%;-;6.90%;7.44;0.81%;401,269
1102;CET;749.11M;6.26;-;-;46.24;0.89;3745.53;-;48.70%;-;64.60%;-;-5.60%;29.70;-0.17%;14,171
1103;CETV;933.08M;45.73;13.39;9.15;1.52;8.52;23.10;8.03;111.60%;16.67%;15.10%;5.00%;-4.00%;3.72;-0.67%;9,495
1104;CETX;18.23M;-;-;-;0.17;0.43;3.96;-;-47.00%;10.50%;24.40%;-;58.20%;1.49;0.68%;9,992
1105;CETXP;43.94M;-;-;-;0.42;1.10;-;-;-;-;-;-;-;3.80;0.00%;0
1106;CEV;79.38M;-;-;-;12.83;0.82;-;-;-;-;0.00%;-;-;11.15;0.36%;14,905
1107;CEVA;636.61M;141.91;29.75;16.13;7.89;2.62;5.06;53.50;24.20%;76.91%;5.20%;8.80%;10.30%;29.05;0.35%;28,177
1108;CEW;-;-;-;-;-;-;-;-;-;-;-;-;-;18.07;-0.26%;7,271
1109;CEY;-;-;-;-;-;-;-;-;-;-;-;-;-;23.75;-0.67%;5,827
1110;CEZ;-;-;-;-;-;-;-;-;-;-;-;-;-;27.11;-0.12%;201
1111;CF;12.45B;127.56;25.55;-;2.95;3.47;17.10;37.83;52.10%;53.00%;-16.00%;-;-7.50%;54.42;3.04%;1,386,089
1112;CFA;-;-;-;-;-;-;-;-;-;-;-;-;-;52.12;-0.20%;12,758
1113;CFBK;74.68M;22.34;-;-;3.72;1.56;2.07;-;79.40%;-;-8.90%;-;18.80%;15.69;0.64%;3
1114;CFFI;202.64M;17.04;-;-;2.24;1.42;1.46;11.85;-25.80%;-;-9.90%;-;3.10%;59.65;0.68%;265
1115;CFFN;1.78B;16.33;16.23;3.27;5.49;1.29;6.31;-;0.00%;5.33%;5.90%;5.00%;-0.90%;12.92;0.78%;96,218
1116;CFG;19.26B;13.42;10.58;0.62;3.64;0.98;3.74;10.42;31.90%;9.70%;17.70%;21.50%;5.00%;40.40;-0.02%;1,087,807
1117;CFMS;80.30M;-;-;-;1.03;1.48;1.72;-;10.90%;31.30%;-0.30%;-14.58%;26.00%;1.16;-4.13%;63,724
1118;CFO;-;-;-;-;-;-;-;-;-;-;-;-;-;52.07;-0.21%;52,994
1119;CFR;6.91B;17.13;14.52;1.25;7.17;2.16;2.07;17.91;18.20%;9.05%;7.60%;13.72%;7.20%;106.91;-0.36%;88,056
1120;CFRX;144.58M;-;-;-;-;-;4.34;-;67.20%;44.40%;22.50%;-;-;1.87;3.31%;310,655
1121;CFX;4.28B;-;14.54;-;1.22;1.33;16.63;60.35;-154.90%;10.24%;7.70%;11.65%;-3.40%;36.24;0.64%;256,200
1122;CG;7.96B;8.40;7.81;-;2.45;3.70;6.26;-;-28.00%;21.60%;53.40%;-;4.30%;23.73;-0.32%;227,812
1123;CGA;34.83M;1.39;-;0.11;0.12;0.08;0.23;1.27;-1.90%;-;-15.80%;12.50%;5.60%;0.91;2.24%;73,836
1124;CGBD;1.07B;12.25;9.95;6.13;5.56;0.95;38.28;-;-17.70%;3.63%;-;2.00%;-;17.06;-0.06%;53,877
1125;CGC;10.48B;-;-;-;158.39;12.38;-;-;-;-;-;-;-;54.61;4.02%;8,956,504
1126;CGEN;219.77M;-;-;-;21.98;5.06;5.17;-;-16.90%;-51.00%;-13.80%;-;-;3.88;-0.64%;57,022
1127;CGG;2.02B;-;-;-;1.58;0.82;4.53;10.28;59.40%;-;-28.80%;38.40%;-17.30%;2.85;1.42%;10,632
1128;CGIX;31.00M;-;-;-;1.02;1.94;19.38;-;72.40%;63.50%;44.00%;40.00%;46.60%;1.21;-2.41%;199,201
1129;CGNX;9.92B;36.97;37.53;1.35;12.09;9.42;20.55;66.36;88.40%;32.13%;33.00%;27.40%;18.20%;57.66;-2.20%;744,137
1130;CGO;-;-;-;-;-;-;-;-;-;-;-;-;-;14.19;-1.38%;7,757
1131;CGW;-;-;-;-;-;-;-;-;-;-;-;-;-;35.01;-0.25%;12,800
1132;CHA;38.77B;13.43;11.25;0.79;0.71;0.79;13.74;-;3.30%;11.95%;4.50%;16.90%;5.30%;47.77;0.31%;5,949
1133;CHAD;-;-;-;-;-;-;-;-;-;-;-;-;-;36.26;-0.48%;5,943
1134;CHAP;837.86M;-;33.86;-;3.17;0.99;12.25;-;106.90%;230.00%;-14.70%;-;-12.00%;17.91;1.13%;2,314
1135;CHAU;-;-;-;-;-;-;-;-;-;-;-;-;-;18.71;-0.21%;37,852
1136;CHCI;10.31M;-;-;-;0.22;-;1.81;1.04;56.80%;-;18.20%;10.00%;26.00%;2.65;1.49%;61,349
1137;CHCO;1.18B;17.26;15.35;2.16;7.88;2.34;3.70;30.42;14.10%;2.00%;8.60%;8.00%;5.00%;77.33;0.62%;7,510
1138;CHCT;532.16M;80.03;-;-;12.04;1.87;295.65;-;-1.40%;-;-;-;-;29.82;1.26%;36,782
1139;CHD;14.41B;27.29;24.11;2.63;3.57;6.49;161.38;28.83;4.90%;7.64%;8.40%;10.36%;5.30%;59.17;0.13%;396,224
1140;CHDN;3.73B;34.16;20.04;2.85;3.95;8.16;14.64;-;-29.70%;23.12%;4.00%;12.00%;3.80%;277.05;1.15%;22,134
1141;CHE;5.04B;28.98;25.37;2.90;2.92;9.05;396.52;47.87;-17.10%;7.94%;3.10%;10.00%;3.10%;316.97;0.96%;37,313
1142;CHEF;1.11B;65.68;39.03;1.98;0.81;4.15;28.00;64.46;255.70%;23.85%;-9.80%;33.10%;22.10%;37.65;-0.13%;77,326
1143;CHEK;33.63M;-;-;-;-;0.80;1.68;-;8.10%;48.10%;-8.20%;-;-;3.88;-1.11%;24,420
1144;CHEP;-;-;-;-;-;-;-;-;-;-;-;-;-;22.95;0.00%;0
1145;CHFC;4.00B;16.92;12.77;1.88;5.69;1.45;7.61;14.62;25.90%;9.77%;8.20%;9.00%;24.60%;56.13;0.56%;71,718
1146;CHFS;8.35M;-;-;-;2.14;0.60;1.19;-;93.00%;42.90%;-;-;-;1.18;0.00%;23,721
1147;CHGG;3.57B;-;53.06;-;12.43;9.10;7.67;76.17;56.10%;28.42%;18.40%;30.00%;3.60%;32.23;2.61%;368,643
1148;CHGX;-;-;-;-;-;-;-;-;-;-;-;-;-;20.69;0.12%;16
1149;CHH;4.68B;25.31;19.99;1.25;4.51;-;126.09;25.26;10.60%;9.99%;5.50%;20.25%;7.80%;82.95;0.24%;52,883
1150;CHI;-;-;-;-;-;-;-;-;-;-;0.00%;-;-;12.25;2.36%;126,102
1151;CHIE;-;-;-;-;-;-;-;-;-;-;-;-;-;12.76;0.08%;65
1152;CHII;-;-;-;-;-;-;-;-;-;-;-;-;-;14.40;2.49%;1,511
1153;CHIM;-;-;-;-;-;-;-;-;-;-;-;-;-;17.71;0.23%;5
1154;CHIQ;-;-;-;-;-;-;-;-;-;-;-;-;-;15.43;0.44%;4,135
1155;CHIX;-;-;-;-;-;-;-;-;-;-;-;-;-;16.98;0.71%;7,983
1156;CHK;4.23B;9.21;6.06;0.66;0.46;-;1410.50;-;113.90%;-3.14%;21.20%;14.04%;-5.10%;4.68;0.11%;17,945,772
1157;CHKE;11.72M;-;7.90;-;0.43;0.80;1.75;-;-290.30%;200.00%;-45.10%;15.00%;2.00%;0.81;2.34%;39,885
1158;CHKP;19.00B;23.64;19.30;3.94;10.10;5.13;11.29;17.20;15.20%;8.25%;10.20%;6.00%;6.70%;118.11;-0.31%;451,108
1159;CHKR;75.95M;6.18;-;-;5.20;2.95;47.47;-;6.60%;-;-35.20%;0.00%;-34.20%;1.66;0.88%;9,736
1160;CHL;199.34B;11.50;9.90;-;1.84;1.31;2.91;-;5.10%;4.09%;-2.60%;-2.70%;5.70%;48.05;-0.08%;268,800
1161;CHMA;84.94M;-;-;-;-;1.84;1.56;-;57.80%;15.90%;-;-;-;3.65;0.00%;73,604
1162;CHMG;196.67M;18.00;11.20;-;3.14;1.35;4.84;10.63;2.50%;11.11%;-1.90%;-;2.90%;42.25;-0.75%;7,124
1163;CHMI;291.09M;3.38;9.23;-;2.33;0.82;12.18;14.13;19.20%;-0.99%;16.60%;-2.80%;-;18.51;0.23%;92,602
1164;CHN;301.28M;3.74;-;-;41.27;0.81;-;4.13;-;-;30.70%;-;-10.50%;19.51;0.57%;9,687
1165;CHNA;-;-;-;-;-;-;-;-;-;-;-;-;-;23.18;0.00%;0
1166;CHNR;44.55M;-;-;-;-;-;-;-;-39.00%;-;15.60%;-;-;1.87;4.49%;2,316
1167;CHRA;184.92M;53.53;6.08;1.15;0.29;1.80;12.33;-;-38.90%;90.55%;-;46.40%;-;6.77;6.28%;139,646
1168;CHRS;1.12B;-;-;-;-;16.26;7.00;-;-47.50%;61.20%;-34.20%;23.00%;-3.90%;16.38;1.71%;252,959
1169;CHRW;13.44B;24.18;19.52;1.83;0.84;8.85;43.27;59.10;-2.90%;10.50%;-1.00%;13.21%;5.50%;96.26;-0.10%;307,143
