No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
4595;NBIX;11.01B;-;64.12;-;34.05;28.89;21.64;6474.75;0.50%;904.26%;-;-;24.90%;123.19;1.77%;743,079
4596;NBL;14.84B;193.19;24.30;2.95;3.17;1.46;23.89;-;-63.70%;27.97%;-27.90%;65.43%;0.20%;31.22;0.99%;2,226,257
4597;NBLX;1.35B;8.18;7.11;0.52;3.84;2.62;83.27;-;357.90%;20.48%;-;15.60%;-;34.52;0.91%;125,809
4598;NBN;190.97M;11.97;-;-;2.90;1.41;1.20;10.55;32.40%;-;37.00%;-;12.50%;22.10;1.14%;2,966
4599;NBO;58.03M;224.12;-;-;12.30;0.85;-;-;-;-;-;-;-;11.35;-0.70%;36,236
4600;NBR;2.24B;-;-;-;0.78;0.67;3.52;-;64.00%;79.30%;-29.90%;-;-17.80%;6.19;-0.48%;3,922,065
4601;NBRV;166.90M;-;-;-;15.17;1.36;2.21;-;90.20%;17.30%;-;-;-;2.63;5.20%;306,555
4602;NBTB;1.70B;17.22;14.77;3.44;5.23;1.73;7.34;20.91;9.70%;4.00%;4.00%;5.00%;5.30%;38.87;0.26%;13,810
4603;NBW;69.44M;47.75;-;-;12.51;0.85;-;-;-;-;-;-;-;12.43;-0.64%;26,705
4604;NBY;26.29M;4.55;-;-;1.63;5.12;3.87;-;124.00%;8.60%;15.50%;-;21.30%;2.09;-5.00%;15,498
4605;NC;223.29M;9.22;-;-;1.97;0.98;2.79;4.69;754.60%;-;-6.00%;-;-34.60%;33.05;1.54%;720
4606;NCA;263.20M;27.14;-;-;21.40;0.93;-;-;245.20%;-;-16.30%;-;-1.90%;9.42;0.32%;28,815
4607;NCB;51.16M;26.43;-;-;19.68;0.97;46.51;-;-;-;-19.40%;-;-3.30%;15.50;0.06%;2,216
4608;NCBS;528.11M;14.28;13.55;2.04;4.38;1.41;4.29;12.40;44.00%;4.17%;45.30%;7.00%;30.60%;54.43;0.59%;2,460
